id,question,chance,tag
2646,"Что такое layout, какие их виды бывают и когда их использовать",13,Нет
2650,Что такое SharedFlow и чем он отличается от StateFlow,13,Нет
2640,Что такое сервисы,13,Нет
2638,Почему при скролле может тормозить список,13,Нет
2637,"Что будешь делать, если просят исправить долгий запуск приложения в legacy проекте",13,Нет
2639,Что послужило причиной перехода в IT,13,Нет
2785,Как работает основной поток,13,Нет
2804,Знаешь что-то о композиции классов,13,Нет
2634,С какими задачами в android разработке хотел бы работать,13,Нет
2632,Что из себя представляет библиотека Room,13,Нет
6318,Какие особенности инжекта в поле при помощи Dagger,13,Нет
2625,"Как будут вести себя linked list и array list, если вставить в них элемент",13,Нет
5780,Расскажи про классы unit и nothing.,13,Нет
5771,Что нравится в Kotlin,13,Нет
2628,Как будешь выбирать архитектуру,13,Нет
2629,Как работает навигация по Activity,13,Нет
5772,Все классы Kotlin наследуются от Any,13,Нет
2631,Что из себя представляет retrofit,13,Нет
5781,Расположи layout в порядке потребления ресурсов.,13,Нет
2633,Что такое миграция и для чего она нужна,13,Нет
5765,Как работает стек,13,Нет
5722,"Какое главное отличие между Java и Kotlin касательно абстрактных классов, методов",13,Нет
5766,Какие есть главные функции у стека,13,Нет
2637,"Что будешь делать, если просят исправить долгий запуск приложения в legacy проекте",13,Нет
4619,Какие существуют правила для методов equals и hashcode,13,Нет
4539,Использовал каналы в своем проекте,13,Нет
4629,Расскажи про фреймворк Dagger,13,Нет
5767,Вставка значения быстрее в Linked list или в Array list,13,Нет
10728,Что такое Extensions,13,Нет
4215,"Опиши самый сложный UI, который тебе приходилось делать",13,Нет
3744,Какие методы есть у view и что каждый из них делает,13,Нет
3777,Где nothing находится в иерархии,13,Нет
3711,Почему nothing можно подставлять везде,13,Нет
3701,"Расскажи, как происходит работа garbage collection",13,Нет
3702,Для чего нужен метод hashCode,13,Нет
2649,С какими библиотеками Jetpack работал,13,Нет
3725,Когда инициализируется companion object,13,Нет
3602,Знаешь как появились фрагменты,13,Нет
3297,Что такое лямбды с точки зрения синтаксиса в Java и Kotlin,13,Нет
2886,Что такое Hilt и для чего он используется,13,Нет
2882,Каким образом осуществляется навигация в Android,13,Нет
2887,Знаком с Dagger,13,Нет
3635,В чем особенность делегатов свойств,13,Нет
4500,Были какие-нибудь проблемы с push,13,Нет
10732,Знаешь как работает Cash Map,13,Нет
2871,Что такое многопоточность,13,Нет
2785,Как работает основной поток,13,Нет
2874,Что представляет собой view и что отвечает за ее визуальную часть,13,Нет
2804,Знаешь что-то о композиции классов,13,Нет
2674,Что знаешь о диспатчерах,13,Нет
2856,Что такое абстрактный класс и для чего он используется,13,Нет
4611,Расскажи для чего нужен Dagger.,13,Нет
2672,В чем отличие между job и supervisor job,13,Нет
2671,Какую базу данных используешь в своих проектах,13,Нет
2670,Работал ли с Kotlin Multiplatform,13,Нет
2850,Чем array отличается от list,13,Нет
2667,Какие есть ограничения у sealed классов,13,Нет
2842,Чем отличаются data-классы и sealed-классы,13,Нет
2853,Расскажи про наследование в Kotlin,13,Нет
2673,Что является сущностью корутин контекста,13,Нет
4614,Какой основной поток выполнения приложения,13,Нет
2675,Расскажи про модификатор доступа в Java и Kotlin,13,Нет
2664,Зачем нужен crossinline,13,Нет
2663,Что такое serializable и parselable объекты,13,Нет
2662,Как передать данные с одной Activity на другую,13,Нет
2679,В чем преимущества выбора Android разработки,13,Нет
2837,Как и когда начинает работать garbage collector в Kotlin,13,Нет
2661,Какой жизненный цикл у фрагмента,13,Нет
2659,Знаешь минусы ListView по сравнению с RecyclerView,13,Нет
4626,Как реализовано хранение объектов в HashMap,13,Нет
2658,Как запустить асинхронные операции в чистом Android,13,Нет
2883,Какие способы навигации знаешь,13,Нет
2826,"Помнишь, когда в Android появились лямбда-выражения",13,Нет
2840,Для чего может использовать equals,13,Нет
2657,Как ты работаешь с асинхронными операциями,13,Нет
3545,Какой язык в вашем текущем проекте,13,Нет
2655,"Как по Activity понять, что она была уничтожена",13,Нет
2654,"Почему используют PendingIntent, а не Intent",13,Нет
2761,"На что следует обращать внимание, чтобы оптимизировать большой список",13,Нет
3703,Расскажи про коллизии в HashMap,13,Нет
2653,Расскажи про плюсы и минусы MVI и зачем он нужен,13,Нет
2652,Как в проекте найти утечки памяти,13,Нет
2650,Что такое SharedFlow и чем он отличается от StateFlow,13,Нет
4174,Что при создании классов в Kotlin изменились по сравнению с Java,13,Нет
2722,Не знаешь как появились фрагменты и для чего их начали использовать,13,Нет
4620,Как устроена память в Java,13,Нет
10741,Что такое фрагменты и почему их удобнее использовать вместо множества activity,13,Нет
2797,Насколько часто встраиваешь в приложение куски HTML,6,Нет
2796,"Как в runtime делать динамические экраны, которые не были предусмотрены",6,Нет
2778,Когда начал вход в IT,6,Нет
2795,"Если в приложении много экранов, как их связывать",6,Нет
2810,Что такое софткод,6,Нет
2784,Что такое Handler,6,Нет
2794,Зачем нужно разделять отображение и бизнес-логику,6,Нет
2777,Где учился,6,Нет
2765,"Предположи, что может тормозить приложение",6,Нет
2783,Что такое Looper,6,Нет
2780,Что привело в IT,6,Нет
2793,Какую задачу решает MVP и что пришлось бы делать без него,6,Нет
2820,"Можешь привести пример, когда android фреймворк использует паттерн Factory",6,Нет
2819,"Как бы смотрел, как обфусцируется код",6,Нет
2792,Расскажи подробнее про MVP,6,Нет
2775,Сколько тебе лет,6,Нет
2818,"Что бы делал, если бы релизная сборка падала в месте, которое отличается от дебажной сборки",6,Нет
2721,Можно ли избежать вызова onPause и onStop,6,Нет
2817,"Устраивает ли тебя, что на позиции Middle-разработчика придется больше кодить и меньше руководить",6,Нет
2720,Чем background service отличается от foreground service,6,Нет
2719,Использовал когда-нибудь Service,6,Нет
2716,Что находится в ресурсах и какие данные в них можно хранить,6,Нет
2821,Что такое Factory Builder,6,Нет
2758,Можно ли что-то из компонентов не описывать в Manifest,6,Нет
2784,Что такое Handler,6,Нет
2794,Зачем нужно разделять отображение и бизнес-логику,6,Нет
2777,Где учился,6,Нет
2765,"Предположи, что может тормозить приложение",6,Нет
2756,Для чего нужен объект Job,6,Нет
2754,Какие знаешь Object в Kotlin и как они компилируются,6,Нет
2783,Что такое Looper,6,Нет
2752,"Может ли как-то навредить то, что data class генерирует много методов",6,Нет
2750,Назови какие-то конкретные критерии качества кода,6,Нет
2780,Что привело в IT,6,Нет
2793,Какую задачу решает MVP и что пришлось бы делать без него,6,Нет
2749,"Чем пользуешься, чтобы поддерживать качество кода",6,Нет
2748,"Представь, что можешь получить один любой навык за 5 минут, что выберешь",6,Нет
2747,Что тебя может демотировать в работе,6,Нет
2751,"Как относишься к очень длинным классам, по 2-4 тысячи строк",6,Нет
2746,"Как выходил из ситуаций, когда не был согласен с оценкой код ревью",6,Нет
2753,Чем отличаются двойное и тройное равно в Kotlin и для чего придумали тройное,6,Нет
2820,"Можешь привести пример, когда android фреймворк использует паттерн Factory",6,Нет
2755,В какой момент инициализируется обычный Object,6,Нет
2745,Был ли в прошлой команде код ревью,6,Нет
2757,Как работает async/await,6,Нет
2744,На что обратишь внимание при выборе компании,6,Нет
2759,"Если нужно собрать аналитику перед запуском приложения, где бы ее описал",6,Нет
2743,Какие ожидания от нового места работы,6,Нет
2742,В чем основной плюс MVVM,6,Нет
2819,"Как бы смотрел, как обфусцируется код",6,Нет
2792,Расскажи подробнее про MVP,6,Нет
2775,Сколько тебе лет,6,Нет
2770,Зачем в курсоре нужен лимит,6,Нет
2741,Как бы ты создал базу данных,6,Нет
2740,"Что нужно сделать, чтобы описать GET запрос",6,Нет
2739,Как сохранять и применять настройки темы,6,Нет
2822,Можешь рассказать про какие-нибудь билдеры в android,6,Нет
2738,Чем отличаются add и replace,6,Нет
2818,"Что бы делал, если бы релизная сборка падала в месте, которое отличается от дебажной сборки",6,Нет
2724,Как можно сделать Activity фрагменты,6,Нет
2723,Почему многие отказываются от MVP,6,Нет
2721,Можно ли избежать вызова onPause и onStop,6,Нет
2817,"Устраивает ли тебя, что на позиции Middle-разработчика придется больше кодить и меньше руководить",6,Нет
2720,Чем background service отличается от foreground service,6,Нет
2830,"Знаешь, что такое desugaring",6,Нет
2719,Использовал когда-нибудь Service,6,Нет
2716,Что находится в ресурсах и какие данные в них можно хранить,6,Нет
2821,Что такое Factory Builder,6,Нет
2834,Почему могут быть проблемы со списками в data class,6,Нет
2715,Как собираем код,6,Нет
2714,Из каких частей состоит проект и какая часть за что отвечает,6,Нет
2816,"Какие события, которые нужно обрабатывать, есть у серверного сокета",6,Нет
2815,Какие классы обеспечивают работу socket,6,Нет
2773,"Как сделать, чтобы другое приложение могло безопасно получить авторизационный токен",6,Нет
4603,Можно ли сделать аналог extension function в Java,6,Нет
2713,Как в Kotlin можно сделать несколько конструкторов в одном классе,6,Нет
2712,Для чего нужны конструкторы в data class и можно ли обойтись без них,6,Нет
2711,В чем отличие val от var,6,Нет
2710,Как происходит объявление переменной,6,Нет
2814,Какие особенности у ddp протокола,6,Нет
2709,Можно ли в Kotlin использовать примитивные типы,6,Нет
2707,Какие вспомогательные функции знаешь или использовал,6,Нет
2706,Когда происходит перегрузка при использовании inline функций,6,Нет
2813,Что можешь рассказать о взаимодействии Android-приложения с сервером,6,Нет
2789,"Как думаешь, надолго гуглу хватит идей для android",6,Нет
2705,Использовал inline функции,6,Нет
2704,В чем отличие обычного от extension метода в Kotlin,6,Нет
2703,Как бы расширил text view каким-то методом,6,Нет
2702,Как бы написал extension на Java,6,Нет
2812,С какими сложностями сталкивался в своих проектах,6,Нет
2701,"Как в Kotlin сделать статические поле, метод, класс",6,Нет
2700,"Как можно понять, что класс является наследником",6,Нет
2699,Как бы написал наследование между двумя классами в Kotlin,6,Нет
2698,Для чего используются два восклицательных знака,6,Нет
2811,"Встречал антипаттерн ""Красивые столбики""",6,Нет
2788,"Что можешь сказать про свойства properties,методы get и set в Kotlin",6,Нет
2771,"Как система решает, какой процесс убить",6,Нет
2697,"Что произойдет, если обратиться к полю nullable объекта",6,Нет
2696,Знаешь о иерархии ошибок,6,Нет
2695,Могут ли в одном Try быть несколько Catch,6,Нет
2694,Пользовался модулем Try Catch,6,Нет
2809,"Как можно увидеть хардкод, какие есть признаки",6,Нет
2693,Как обрабатываются ошибки в Java и как с ними работать,6,Нет
2692,Работал с семафорами,6,Нет
2691,"Какой еще есть способ борьбы с гонкой потоков, кроме volatile",6,Нет
2690,Почему происходят гонки потоков и как с этим бороться,6,Нет
2808,"Что считаешь плохим в коде, что сразу хочется заменить",6,Нет
2787,Что такое многомодульность,6,Нет
2689,Как выполнить код в параллельном (не main) потоке,6,Нет
2688,Какие есть реализации list,6,Нет
2687,Какие есть реализации коллекций,6,Нет
2686,Какие есть коллекции в Java,6,Нет
2807,Расскажи про антипаттерны,6,Нет
2685,"Какие примитивы есть в Kotlin, а какие в Java",6,Нет
2684,Расскажи про модификаторы доступа в Java,6,Нет
2683,Как переводить ссылочные типы в примитивные и наоборот,6,Нет
2682,В чем разница примитивного и ссылочного типов,6,Нет
2806,В чем основная идея паттерна Facade,6,Нет
2786,Сложно ли фиксить проблему перегрузки основного потока,6,Нет
2769,Для чего используется каждый из способов передачи данных между приложениями,6,Нет
4613,Расскажи про методы которые перерисовывают View,6,Нет
2681,Какие есть методы у класса Object,6,Нет
2680,От какого объекта наследуются все классы в Java,6,Нет
3351,Как бы реализовал MVVM сам,6,Нет
2692,Работал с семафорами,6,Нет
2691,"Какой еще есть способ борьбы с гонкой потоков, кроме volatile",6,Нет
3347,Как Extension применяются в Java,6,Нет
2690,Почему происходят гонки потоков и как с этим бороться,6,Нет
2808,"Что считаешь плохим в коде, что сразу хочется заменить",6,Нет
2787,Что такое многомодульность,6,Нет
2689,Как выполнить код в параллельном (не main) потоке,6,Нет
3343,Что и как в данный момент изучаешь,6,Нет
2688,Какие есть реализации list,6,Нет
2687,Какие есть реализации коллекций,6,Нет
3334,Какой UI архитектурой доставляются и рисуются данные,6,Нет
2686,Какие есть коллекции в Java,6,Нет
2807,Расскажи про антипаттерны,6,Нет
2685,"Какие примитивы есть в Kotlin, а какие в Java",6,Нет
3316,Как реализовать безопасную и надежную загрузку видео в общих чертах,6,Нет
2684,Расскажи про модификаторы доступа в Java,6,Нет
3313,Как объединить несколько коммитов в один в Git,6,Нет
3309,Как в архитектурных компонентах андроид сохранить состояние view модели,6,Нет
2683,Как переводить ссылочные типы в примитивные и наоборот,6,Нет
3305,Какие есть опасности в Kotlin при передаче лямбды в метод из Java,6,Нет
3300,Какой тип у лямбды в Java,6,Нет
2682,В чем разница примитивного и ссылочного типов,6,Нет
3319,Как синхронизировать локальное время пользователя и время сервера,6,Нет
3325,Через какие протоколы сервер передает данные в реальном времени,6,Нет
3329,Какие асинхронные примитивы используют для обработки данных,6,Нет
2806,В чем основная идея паттерна Facade,6,Нет
3337,Как развернуть строку,6,Нет
3341,Как можно было бы предотвратить самую большую ошибку в твоей карьере,6,Нет
3342,"Что делать, кроме UI тестов, для проверки кода на наличие багов",6,Нет
2786,Сложно ли фиксить проблему перегрузки основного потока,6,Нет
3344,В каких случаях null safety может навредить,6,Нет
3345,Влияет ли количество кода на его производительность,6,Нет
3346,Всегда ли можно не переопределять equals у data class,6,Нет
2769,Для чего используется каждый из способов передачи данных между приложениями,6,Нет
3348,Какие бенефиты мы получаем от архитектуры,6,Нет
3349,Что будешь делать с Presentation layer паттерном,6,Нет
3350,Чем плохо сохранение view в Presenter,6,Нет
4613,Расскажи про методы которые перерисовывают View,6,Нет
3352,"Как с MVI обрабатывать события, которые не нужно хранить",6,Нет
3353,"Что бы выбрал, MVI или MVVM",6,Нет
3354,В каких случаях не рекомендуется использовать корутины и RxJava,6,Нет
3293,Есть ли ссылки с которыми видно работу сборщика мусора,6,Нет
3356,Какие есть преимущества у корутин перед RxJava,6,Нет
3357,Какой DI будешь использовать,6,Нет
3358,Какие проблемы есть у Dagger,6,Нет
2681,Какие есть методы у класса Object,6,Нет
3360,В чем основная проблема сабкомпонентов,6,Нет
3361,"Что такое scope, как они работают",6,Нет
3362,Как scope может повлиять на перфоманс,6,Нет
3288,За что отвечает runtime,6,Нет
3364,Какой выберешь UI,6,Нет
3365,Как правильно организовать работу с UI,6,Нет
3366,Как организовать работу с текстом и картинками в делегате,6,Нет
2892,Что такое CharSequence,6,Нет
3368,Как бы создавал адаптеры для DiffUtils,6,Нет
3369,Слышал про ListAdapter,6,Нет
3370,В каких случаях расчет diff в background потоке работает плохо,6,Нет
2680,От какого объекта наследуются все классы в Java,6,Нет
3372,"Когда лучше использовать png и webp, а когда svg",6,Нет
3373,"Что лучше, png или webp",6,Нет
3374,Какой ImageLoader будешь использовать,6,Нет
2891,Как делать сетевые запросы с помощью retrofit,6,Нет
3376,Как сделать кэш,6,Нет
3377,"В каких случаях используют atomic, в каких synchronized",6,Нет
3378,Какие бы выбрал инструменты для UI тестирования,6,Нет
2890,Делал нативные решения для реализации сетевых запросов,6,Нет
3380,"Какого рода задачи, в которых пришлось разбираться, делал в последнее время",6,Нет
3381,Как бы решил проблемы с подтормаживанием чата,6,Нет
3384,Какие могут быть проблемы с элементами списка,6,Нет
2889,Что используется для работы с сетью в Android,6,Нет
3387,Как можно исправить плохой layout элемента,6,Нет
2888,Для чего нужен StateFlow,6,Нет
3389,Как определить изменение скорости работы программы после наших действий,6,Нет
2678,Какой твой первый язык,6,Нет
3391,Как бы реализовал выгрузку файлов через приложение на сервер,6,Нет
3392,Какое API или другие инструменты будешь использовать для отправления файлов на сервер,6,Нет
3393,Как бы реализовал возможность загрузки и просмотра файлов с сервера,6,Нет
2885,Расскажи про паттерн MVVM,6,Нет
3395,Как реализовать редактор фотографий в качестве отдельного компонента,6,Нет
3396,Как бы передавал фотографию в редактор,6,Нет
3397,Как в intent передать ссылку на файл,6,Нет
2884,Расскажи про Jetpack ViewModel,6,Нет
3399,"Как будешь определять, стоит ли интегрировать библиотеку paging 3 вместо старого решения",6,Нет
2881,Работал с DataStore Preferences,6,Нет
3401,Какие неожиданные проблемы могут возникнуть с корутинами,6,Нет
2880,Какие типы хранилищ существуют в Android-приложениях,6,Нет
3403,"Есть идеи, как можно сделать коммуникацию фрагментов через колбеки",6,Нет
3404,Какие есть механизмы для отмены запросов presenter у view,6,Нет
3405,"Как думаешь, когда вызывается метод OnDetachedFromWindow",6,Нет
2677,С чего начинал изучение программирования,6,Нет
2805,Встречался с паттерном Facade,6,Нет
2879,"Как подключить BroadcastReceiver, чтобы он смог получать сообщения",6,Нет
3411,Можешь привести примеры использования ViewTreeObserver,6,Нет
2878,Работал с IntentService,6,Нет
3415,Как происходят сохранение состояния view,6,Нет
4630,"Как быть,если нужно сериализовать объект какого-то вашего класса, но одно из его полей несериализуемо",6,Нет
3423,В каких случаях может понадобиться вызывать commitAllowingStateLoss,6,Нет
4628,Что такое сериализация,6,Нет
4624,Что такое final и finalize и чем они отличаются,6,Нет
3316,Как реализовать безопасную и надежную загрузку видео в общих чертах,6,Нет
3438,Как бы реализовал загрузку файлов на бэкенд,6,Нет
2684,Расскажи про модификаторы доступа в Java,6,Нет
3450,Почему нельзя отправить файл на сервер с помощью потока,6,Нет
3453,Как вернуть результат работы WorkManager в приложение,6,Нет
3456,В какой момент система может перезапустить сервис,6,Нет
3313,Как объединить несколько коммитов в один в Git,6,Нет
3465,"Если Activity запускается после сервиса, можно ли подсоединиться к этому сервису",6,Нет
3468,Как task manager передает результат,6,Нет
3471,Как можно получить сообщения на главном потоке с помощью Handler и Looper,6,Нет
3309,Как в архитектурных компонентах андроид сохранить состояние view модели,6,Нет
3475,"Как работает проверка на то, есть ли в потоке Looper",6,Нет
3476,"Что происходит с потоком, если он разбирает пустую очередь",6,Нет
3478,Как бы сконфигурировал ThreadPool для библиотеки аналитики,6,Нет
2683,Как переводить ссылочные типы в примитивные и наоборот,6,Нет
3485,"Когда система понимает, что нужно освободить ядро и передать его кому-то другому",6,Нет
3488,"Как LeakCanary понимает, что произошла утечка памяти",6,Нет
3491,"Как понять, что в дампе есть утечка",6,Нет
3305,Какие есть опасности в Kotlin при передаче лямбды в метод из Java,6,Нет
3497,Как LeakCanary находит ссылку на уничтоженную Activity,6,Нет
3500,"Как найти объект, если на него нет ссылок",6,Нет
3505,Как мы можем сохранить объект на какое-то время,6,Нет
3300,Какой тип у лямбды в Java,6,Нет
3513,Как система гарантирует частоту отрисовки списка,6,Нет
3515,"Как автоматически находить, что отрисовка не успевает отрабатывать",6,Нет
3519,Как выглядит алгоритм запроса данных из двух таблиц и какая у него сложность,6,Нет
2682,В чем разница примитивного и ссылочного типов,6,Нет
3529,Как в реляционной таблице сохранить уникальную для каждого элемента информацию,6,Нет
3533,Какой минус есть у виртуальных таблиц,6,Нет
3537,Сколько на текущем месте работы было в команде разработчиков вашего уровня,6,Нет
2806,В чем основная идея паттерна Facade,6,Нет
2786,Сложно ли фиксить проблему перегрузки основного потока,6,Нет
3567,Как бы создал утилиту для библиотеки в Java,6,Нет
3571,Можно ли в Kotlin получить Null Pointer,6,Нет
2769,Для чего используется каждый из способов передачи данных между приложениями,6,Нет
3581,Какие методы есть у data class!,6,Нет
3586,Для чего служит component в data class,6,Нет
3589,Какие есть требования при создании data class,6,Нет
4613,Расскажи про методы которые перерисовывают View,6,Нет
3593,В чем отличие sealed классов от абстрактных,6,Нет
3595,Как работают Executor,6,Нет
3598,Как оптимизировать использование памяти в приложении,6,Нет
3293,Есть ли ссылки с которыми видно работу сборщика мусора,6,Нет
2681,Какие есть методы у класса Object,6,Нет
3288,За что отвечает runtime,6,Нет
3606,Почему нужен отдельный колбек на создание UI у фрагмента,6,Нет
2892,Что такое CharSequence,6,Нет
3610,Какой layout выбрать для списка из большого количества элементов,6,Нет
3613,Что позволяет делать ItemDecoration,6,Нет
3616,Как в RecyclerView делаются анимации,6,Нет
2680,От какого объекта наследуются все классы в Java,6,Нет
3618,Что такое Jetpack,6,Нет
2891,Как делать сетевые запросы с помощью retrofit,6,Нет
3622,Использовал Data Binding,6,Нет
2890,Делал нативные решения для реализации сетевых запросов,6,Нет
3626,"Как думаешь, почему решили создать библиотеку LifeCycle",6,Нет
2889,Что используется для работы с сетью в Android,6,Нет
3631,Сколько времени уходит на руководство и разработку,6,Нет
2888,Для чего нужен StateFlow,6,Нет
2678,Какой твой первый язык,6,Нет
3637,Как делегаты работают на уровне компиляции Java,6,Нет
3644,"Что быстрее, делегат или getter/setter",6,Нет
2885,Расскажи про паттерн MVVM,6,Нет
3664,Чем типы в Kotlin отличаются от типов в Java,6,Нет
2884,Расскажи про Jetpack ViewModel,6,Нет
3674,В чем концептуальное отличие корутинов от потоков в Java,6,Нет
2881,Работал с DataStore Preferences,6,Нет
3681,Почему колбеки фрагмента отличаются от колбеков Activity,6,Нет
3684,Каким образом можно сохранить данные за пределами фрагмента,6,Нет
3686,До какого момента ViewModel гарантирует сохранение состояния,6,Нет
2880,Какие типы хранилищ существуют в Android-приложениях,6,Нет
3692,Какие фреймворки внедрял,6,Нет
2677,С чего начинал изучение программирования,6,Нет
3694,Что такое объекты в Java,6,Нет
2805,Встречался с паттерном Facade,6,Нет
3696,Все ли виды ссылок защищают объект от удаления,6,Нет
2879,"Как подключить BroadcastReceiver, чтобы он смог получать сообщения",6,Нет
3698,Что такое примитивы,6,Нет
2878,Работал с IntentService,6,Нет
4630,"Как быть,если нужно сериализовать объект какого-то вашего класса, но одно из его полей несериализуемо",6,Нет
4628,Что такое сериализация,6,Нет
4624,Что такое final и finalize и чем они отличаются,6,Нет
4622,"Изменится ли объём памяти стека/кучи,если в приложении создано несколько потоков",6,Нет
2803,Почему наследование может быть плохим или неудобным,6,Нет
3705,Сталкивался с linked hasmap,6,Нет
3706,Можно ли наследоваться от data class,6,Нет
4618,Что произойдет если из Java-кода обратиться к Internal полю Kotlin,6,Нет
4616,Какими средствами языка можно создавать потоки,6,Нет
4608,Что хранится в data слое,6,Нет
3716,Сколько типов инстансов у nothing,6,Нет
4605,С помощью какого паттерна в Java можно использовать создание объекта,6,Нет
3723,Можно ли на уровне компилятора сделать все функции inline,6,Нет
2877,Как соединить кастомный view и кастомный layout,6,Нет
3728,Как отловить самую раннюю точку захода в приложение,6,Нет
2876,Что такое view group и каких видов они бывают,6,Нет
3734,Что можно положить в bundle,6,Нет
2802,"В каких случаях наследование полезно, а в каких нет",6,Нет
3740,"Как правильно передать большой объем данных, например, картинку на Activity",6,Нет
2782,Как вызвать метод Activity из фрагмента,6,Нет
2766,"У нас нет устройства, чтобы профилировать приложение. Что будешь делать, чтобы проверить код",6,Нет
4529,Что из себя представляет job,6,Нет
4530,Какие знаешь способы обработки ошибок в корутинах,6,Нет
4531,Есть ли отличия между launch и async в обработке ошибок,6,Нет
4532,В чем разница между coroutineScope и supervisorScope,6,Нет
4533,"Как scope узнает о том, что мы отменили корутину",6,Нет
4534,Есть ли случаи когда у нас не получится отменить корутины,6,Нет
4535,Как бы сделал свою корутину неотменяемой,6,Нет
4536,Чем отличаются  runBlocking от runBlockingTest и runTest,6,Нет
4537,Как работает mutex в корутинах,6,Нет
4538,Почему не рекомендуется использовать с корутинами synchronization block и аналоги таких типов,6,Нет
